Response_ID,Customer_Name,Age,Country,Overall_Satisfaction,Recommendation_Score,Music_Variety,Podcast_Availability,Pricing,App_Performance,Device_Used,Usage_Frequency,Wants_Customization,Additional_Feedback
1052,Bryan Kim,27,Cameroon,3,7,3,3,Fair,4,Mobile,Rarely,Yes,Simple able open.
1053,Shannon Chan,22,Hong Kong,5,7,5,1,Too Expensive,4,Mobile,Daily,Yes,
1054,Charles Camacho,26,Armenia,1,6,1,1,Too Expensive,4,Mobile,Daily,Yes,
1055,Travis Frey,27,Moldova,4,6,1,1,Fair,1,Mobile,Monthly,Yes,
1056,Theresa Robinson,56,Uruguay,1,6,4,1,Too Expensive,2,Mobile,Weekly,No,
1057,Karen Jones,49,Saint Helena,4,7,1,4,Too Expensive,5,Desktop,Daily,Yes,
1058,Alexander Martin PhD,22,Slovakia (Slovak Republic),1,7,1,4,Fair,3,Mobile,Daily,Yes,
1059,Robert Johnson,35,Finland,2,4,1,5,Too Expensive,1,Mobile,Daily,Yes,
1060,Joe Lane,32,South Africa,1,0,5,3,Fair,5,Mobile,Daily,Yes,
1061,Alicia Wilson,41,Liberia,4,5,1,5,Fair,2,Desktop,Weekly,Yes,Work success trouble least general base fly.
1062,Jennifer Thompson,40,Tanzania,2,0,4,3,Fair,2,Mobile,Daily,Yes,
1063,Kelly Torres,33,Guinea,2,6,4,1,Fair,4,Desktop,Daily,Yes,
1064,Brandi Mckenzie,25,Timor-Leste,1,4,2,5,Fair,1,Mobile,Daily,Yes,
1065,James Gonzalez,31,El Salvador,4,6,5,2,Fair,5,Mobile,Daily,No,
1066,Jodi Burnett,58,Suriname,3,5,4,2,Fair,3,Mobile,Daily,No,
1067,Carol Meyer,38,Trinidad and Tobago,3,3,4,1,Too Expensive,5,Mobile,Daily,No,
1068,Nathaniel Keller,40,Nigeria,5,10,5,3,Fair,4,Mobile,Daily,No,
1069,Andrew Smith,24,Dominica,3,3,4,1,Fair,3,Mobile,Daily,Yes,
1070,Christian Payne,53,Yemen,3,4,2,1,Fair,1,Mobile,Daily,No,Nation would safe can.
1071,Brianna Cooper,37,Montenegro,5,10,1,4,Fair,5,Desktop,Weekly,Yes,
1072,Keith Powers,47,Kazakhstan,2,4,1,4,Fair,2,Mobile,Daily,No,Miss important eye reflect.
1073,Mary Walker,57,Mongolia,4,3,4,5,Fair,1,Mobile,Daily,No,Main matter gas general water person.
1074,Karen Little,41,Panama,2,2,2,3,Fair,3,Mobile,Daily,Yes,
1075,Rebecca Russo,43,South Georgia and the South Sandwich Islands,3,0,4,1,Too Expensive,5,Desktop,Daily,Yes,
1076,Lucas Valdez,41,Argentina,2,5,4,5,Fair,5,Desktop,Daily,Yes,
1077,Robert Gordon,21,Panama,1,9,1,4,Fair,4,Desktop,Daily,No,
1078,Melissa Jackson,43,Niue,2,4,2,4,Too Expensive,2,Mobile,Daily,No,
1079,Nicole Gallegos,20,Saint Lucia,5,4,3,4,Fair,2,Mobile,Daily,Yes,
1080,Michael Dickerson,55,Grenada,3,10,3,5,Fair,5,Mobile,Daily,No,
1081,Tammy Hudson,55,French Guiana,4,7,4,4,Too Expensive,4,Desktop,Daily,No,
1082,Chris Mercer,30,North Macedonia,2,6,2,5,Fair,1,Mobile,Weekly,Yes,Music program left threat decade place keep.
1083,Kimberly Hudson,24,Equatorial Guinea,5,10,2,3,Fair,5,Mobile,Daily,Yes,After collection simple identify center.
1084,Max Woodard,49,Iceland,4,7,5,3,Fair,5,Mobile,Daily,No,
1085,Jody Nolan,18,Finland,3,3,5,4,Fair,2,Mobile,Daily,No,
1086,Victoria Walters,45,Turkey,3,8,4,5,Fair,4,Desktop,Daily,Yes,City people former someone not thought actually speech.
1087,Lucas Wolfe,57,Netherlands,5,2,5,1,Fair,3,Mobile,Daily,No,Type feel management its blue.
1088,Eric Green,51,Turkey,1,4,1,1,Fair,5,Desktop,Daily,Yes,Low cold challenge really former rather oil.
1089,Kimberly Sanchez,44,British Indian Ocean Territory (Chagos Archipelago),3,8,5,3,Fair,5,Mobile,Rarely,Yes,
1090,Mark Patterson,53,Monaco,4,0,3,5,Fair,2,Mobile,Daily,Yes,
1091,Rachel Johnson,51,Tanzania,2,2,5,1,Too Expensive,3,Mobile,Weekly,Yes,
1092,Matthew Anderson,59,El Salvador,3,9,3,5,Fair,5,Desktop,Daily,No,
1093,Daniel Jefferson,37,Montserrat,5,9,4,5,Too Expensive,1,Mobile,Weekly,Yes,
1094,Robert Welch,52,Seychelles,2,7,2,1,Too Expensive,4,Desktop,Daily,Yes,Visit month week we.
1095,Tiffany Diaz,57,Reunion,3,3,2,4,Too Expensive,4,Mobile,Daily,Yes,
1096,Karen Contreras,23,Gibraltar,3,1,2,3,Fair,4,Mobile,Weekly,Yes,
1097,Andrew Palmer,28,Moldova,5,8,2,2,Too Expensive,5,Desktop,Daily,No,
1098,James Young,26,Croatia,4,5,4,1,Too Expensive,5,Desktop,Daily,No,
1099,Christopher Johnson,59,Falkland Islands (Malvinas),3,8,1,4,Fair,2,Desktop,Weekly,No,
1100,Jamie Lopez,50,Albania,2,10,3,1,Too Expensive,5,Mobile,Weekly,Yes,
1101,Jessica Fox,49,Bulgaria,2,8,2,3,Too Expensive,4,Desktop,Daily,Yes,
1102,Christian Mitchell,54,Myanmar,4,7,5,1,Fair,1,Smart Speaker,Daily,Yes,
1103,Travis Davis,35,Maldives,5,9,4,1,Too Expensive,3,Mobile,Daily,No,Thousand produce particular describe TV people news.
1104,Charles Stein,47,Turkmenistan,3,1,2,1,Too Expensive,3,Other,Weekly,No,Table foreign fund type improve.
1105,Patricia Tran,39,Luxembourg,3,5,4,1,Fair,1,Smart Speaker,Daily,No,
1106,Amy Howell,18,Zambia,2,8,2,2,Fair,3,Mobile,Daily,No,
1107,James Reyes,39,Bhutan,5,6,5,5,Too Expensive,5,Smart Speaker,Monthly,Yes,
1108,Michael Jimenez,53,Puerto Rico,3,3,4,3,Fair,3,Mobile,Monthly,Yes,
1109,Fernando Ortega,47,Kyrgyz Republic,5,0,1,1,Fair,2,Desktop,Daily,Yes,With out then simple them.
1110,Tamara Cruz,49,Equatorial Guinea,1,0,3,1,Fair,2,Mobile,Weekly,Yes,
1111,Joseph Carlson,55,Palau,4,0,4,2,Too Expensive,5,Mobile,Monthly,Yes,
1112,Brian Stone,48,Guam,4,7,2,4,Too Expensive,2,Mobile,Weekly,No,
1113,Kara Mercer,33,Peru,5,0,4,1,Too Expensive,2,Desktop,Daily,No,Court generation fire.
1114,Alexandra Robinson,22,Bolivia,4,1,3,1,Fair,5,Mobile,Daily,Yes,Me mention third campaign grow.
1115,Tara Warner,21,Svalbard & Jan Mayen Islands,1,8,5,5,Fair,3,Mobile,Daily,Yes,
1116,Daniel Reed,55,Italy,4,3,1,2,Fair,3,Mobile,Daily,No,
1117,Kristin Rasmussen,21,Iceland,3,0,4,4,Fair,3,Mobile,Daily,Yes,
1118,Renee Jones,44,Isle of Man,1,7,5,1,Too Expensive,2,Mobile,Daily,No,
1119,Julie Jefferson,58,Venezuela,3,4,3,3,Fair,5,Mobile,Daily,No,
1120,Mary Bond,31,British Virgin Islands,1,8,1,1,Too Expensive,1,Mobile,Daily,No,
1121,Madison Velasquez,53,Qatar,4,2,4,1,Fair,1,Mobile,Daily,Yes,
1122,William Lucas,23,Liberia,2,7,4,4,Too Expensive,4,Desktop,Daily,No,Despite grow yard health.
1123,Joshua Tucker,32,Trinidad and Tobago,4,10,4,4,Too Expensive,1,Mobile,Weekly,Yes,
1124,James Williams,34,Afghanistan,5,1,2,2,Fair,5,Mobile,Daily,Yes,
1125,Laura Benson,29,Argentina,3,9,4,5,Fair,5,Mobile,Daily,Yes,
1126,Courtney Walker,26,Macao,2,6,1,3,Fair,5,Mobile,Daily,No,
1127,Lynn Alvarado,44,Malaysia,5,6,1,4,Fair,3,Desktop,Rarely,No,Difficult officer another land.
1128,Theresa Ford,33,Russian Federation,3,9,2,1,Too Expensive,1,Mobile,Weekly,No,Nature let course large.
1129,Zachary Young,28,Albania,5,1,2,3,Fair,3,Mobile,Daily,No,
1130,Lori English,40,Kuwait,2,2,2,4,Fair,4,Mobile,Daily,No,Chair watch car Congress above just candidate buy.
1131,Janice Guerra,38,Ghana,3,4,4,5,Fair,1,Mobile,Daily,Yes,
1132,Kenneth Wilson,43,Lithuania,5,1,3,4,Fair,4,Mobile,Weekly,No,Recently it side to information.
1133,Kimberly Mcclain,22,Portugal,2,7,5,1,Too Expensive,3,Mobile,Daily,Yes,
1134,Kevin Wolfe,39,Turkmenistan,3,1,3,3,Cheap,3,Smart Speaker,Weekly,Yes,
1135,Tara Roberts,32,Falkland Islands (Malvinas),4,4,2,2,Fair,2,Smart Speaker,Weekly,No,Least pretty well whether note century.
1136,Christian Doyle,38,Tanzania,2,7,3,4,Fair,3,Mobile,Daily,No,
1137,Stanley Lindsey,53,Brazil,1,9,3,4,Fair,1,Mobile,Daily,Yes,Common fish from American.
1138,Andrew Carey,22,Palau,1,4,5,5,Fair,1,Desktop,Weekly,Yes,
1139,Carla Wilson,31,Reunion,1,1,4,2,Too Expensive,5,Mobile,Daily,No,
1140,Susan Gibson,46,Saint Martin,5,7,4,4,Fair,1,Mobile,Daily,No,
1141,Mary Sanders,21,New Zealand,1,10,4,3,Fair,4,Other,Weekly,Yes,Though across measure quality.
1142,Leonard West,45,Luxembourg,2,5,1,5,Too Expensive,3,Mobile,Weekly,Yes,
1143,Tina Tate,40,North Macedonia,4,5,4,5,Cheap,5,Mobile,Weekly,No,
1144,Diane Thomas,47,France,1,3,1,4,Too Expensive,3,Mobile,Daily,No,Grow both at drop.
1145,Joshua Adams,36,Albania,2,3,3,1,Fair,1,Desktop,Weekly,Yes,Example final especially available blue put mother.
1146,Renee Watts,23,Lesotho,5,9,4,3,Too Expensive,1,Mobile,Weekly,No,Stage world someone material.
1147,James Rodriguez,56,Cuba,1,0,1,5,Too Expensive,1,Mobile,Daily,Yes,
1148,Hayley Bradley,56,Tajikistan,5,9,1,2,Fair,4,Mobile,Daily,Yes,
1149,Debra Rogers,21,Netherlands Antilles,4,6,1,3,Too Expensive,5,Smart Speaker,Daily,Yes,Hear want oil her research.
1150,Kevin Lewis,28,Russian Federation,3,10,3,3,Too Expensive,1,Desktop,Daily,No,
1151,Frank Norton,26,Mexico,4,8,2,5,Cheap,4,Mobile,Daily,No,
1152,Lori Horton,20,Guam,1,8,5,2,Cheap,1,Mobile,Daily,Yes,Contain pretty light she any good arm.
1153,Joshua Arias,58,Switzerland,5,9,5,3,Too Expensive,4,Mobile,Daily,Yes,
1154,Andrew Hardy,34,Cook Islands,5,1,1,3,Fair,5,Mobile,Daily,No,Science story six shoulder relationship expert effort director.
1155,Michael Bates,33,Nicaragua,4,0,5,5,Fair,1,Mobile,Daily,No,
1156,Samantha Bautista,24,Germany,5,6,4,4,Fair,1,Desktop,Daily,Yes,
1157,Larry Phillips,29,Uzbekistan,4,5,1,3,Fair,1,Mobile,Weekly,Yes,
1158,Sonya Meyer,33,American Samoa,5,6,2,4,Too Expensive,5,Mobile,Daily,No,
1159,Brad Lopez,37,South Africa,4,1,3,4,Fair,1,Mobile,Daily,Yes,
1160,Robert Young,25,Andorra,5,5,3,5,Fair,2,Mobile,Daily,Yes,
1161,Jessica Bowman,18,Russian Federation,4,1,2,5,Cheap,3,Mobile,Daily,Yes,
1162,Katherine Dodson,34,Myanmar,4,6,2,5,Fair,4,Mobile,Daily,Yes,Kid left bill.
1163,Richard Long,49,Equatorial Guinea,5,5,2,3,Fair,5,Mobile,Daily,No,Each blood near never star once.
1164,Troy Jackson,18,Brazil,2,9,3,5,Fair,3,Mobile,Daily,Yes,
1165,Alex Ramirez,25,Namibia,2,8,3,2,Fair,5,Mobile,Rarely,Yes,
1166,Michael Thompson,41,Indonesia,1,3,3,5,Too Expensive,5,Mobile,Monthly,No,Second require best risk.
1167,Kyle Miller,56,Ethiopia,3,4,1,1,Too Expensive,1,Mobile,Daily,Yes,
1168,Michael King,59,Pitcairn Islands,5,4,4,1,Too Expensive,2,Desktop,Daily,No,
1169,Arthur Collins,54,Bulgaria,4,3,3,5,Fair,1,Mobile,Daily,No,
1170,Nicole Townsend,36,Wallis and Futuna,1,7,3,1,Fair,4,Mobile,Daily,Yes,
1171,Lacey Jensen,32,South Georgia and the South Sandwich Islands,2,3,3,5,Fair,1,Desktop,Daily,Yes,
1172,Kristen Nichols,57,Cuba,1,8,2,5,Fair,2,Smart Speaker,Daily,Yes,Top security election sing southern.
1173,Ian Obrien,57,Cuba,3,3,1,2,Fair,3,Mobile,Daily,Yes,Then when which pick story walk artist.
1174,Margaret Bullock,23,Vietnam,3,0,3,1,Cheap,1,Desktop,Daily,Yes,
1175,Denise Lopez,59,Spain,5,10,1,1,Cheap,3,Mobile,Weekly,No,
1176,Steve Lee PhD,20,Nigeria,5,3,4,1,Fair,1,Mobile,Daily,Yes,
1177,Matthew Bowman,51,Solomon Islands,2,8,4,5,Too Expensive,2,Mobile,Daily,Yes,Quality yard reflect.
1178,Martin Holland,37,Hong Kong,2,7,1,2,Too Expensive,2,Mobile,Daily,Yes,
1179,Travis James,39,Philippines,4,9,1,5,Fair,2,Other,Daily,No,
1180,Mary Morse,31,Benin,4,3,4,3,Fair,5,Desktop,Daily,Yes,
1181,Joseph Park,45,Maldives,5,4,4,2,Too Expensive,5,Smart Speaker,Daily,Yes,
1182,Kyle Underwood,47,Pakistan,2,5,5,2,Fair,2,Mobile,Rarely,Yes,Center mention anything drug why throughout ask.
1183,Albert Edwards,41,Cocos (Keeling) Islands,2,1,2,2,Fair,3,Mobile,Monthly,No,
1184,Samantha Peterson,23,Somalia,3,5,3,3,Fair,2,Mobile,Daily,Yes,
1185,Walter Harris,51,Grenada,1,10,5,2,Too Expensive,5,Mobile,Daily,Yes,Own lose strong.
1186,Kathryn Lamb,31,Swaziland,3,5,4,5,Fair,2,Mobile,Daily,No,
1187,Sarah Benitez,37,Romania,1,2,3,1,Fair,5,Mobile,Daily,Yes,
1188,Robert Patton,54,Estonia,5,1,3,3,Too Expensive,4,Mobile,Daily,Yes,Hospital old management rate camera.
1189,Lori Charles,34,Chile,4,7,1,1,Too Expensive,2,Desktop,Daily,Yes,
1190,Joseph Powell,30,Lithuania,4,0,4,1,Fair,4,Desktop,Daily,Yes,Night player be cut guy our involve.
1191,Matthew Williams,29,Israel,3,0,1,3,Fair,1,Mobile,Daily,No,Staff send teacher view test rest especially in.
1192,George Wilson,45,Maldives,3,1,1,1,Fair,4,Mobile,Daily,Yes,Stand agreement hundred investment.
1193,Patrick Lewis,55,Australia,4,4,4,1,Fair,3,Mobile,Daily,Yes,Sure beyond necessary resource present she.
1194,Michael Morales,22,Portugal,3,6,1,3,Fair,4,Desktop,Daily,Yes,
1195,Hannah Rodriguez,55,Gibraltar,2,9,5,1,Too Expensive,2,Mobile,Daily,Yes,
1196,Jennifer Castro,40,Cote d'Ivoire,4,4,5,3,Fair,3,Mobile,Daily,No,
1197,Kimberly Evans,41,Cocos (Keeling) Islands,3,2,2,3,Too Expensive,5,Mobile,Daily,Yes,
1198,Charles Robbins,18,Guam,1,4,3,1,Cheap,1,Other,Daily,No,
1199,Ashley Alexander,47,Madagascar,1,10,3,1,Fair,2,Mobile,Monthly,No,
1200,Hannah Shaw,53,British Indian Ocean Territory (Chagos Archipelago),4,8,1,5,Fair,1,Mobile,Daily,Yes,Movie ask thank environment ever.
1201,Christopher Miller,55,Cocos (Keeling) Islands,1,4,5,1,Fair,2,Mobile,Daily,Yes,
1202,Justin Walker,56,French Polynesia,5,2,1,5,Fair,4,Mobile,Daily,No,
1203,Sheri Allen,25,Grenada,4,6,1,4,Too Expensive,5,Mobile,Weekly,No,Open rate hair human.
1204,Daniel Aguilar,19,Vanuatu,2,5,4,2,Fair,2,Desktop,Weekly,No,
1205,Christopher Mckinney,28,Kazakhstan,3,4,4,3,Cheap,4,Mobile,Daily,No,
1206,Joseph Gaines,51,Saudi Arabia,1,4,5,5,Fair,4,Mobile,Daily,Yes,
1207,Amanda Ryan,58,Greece,5,10,3,1,Fair,5,Desktop,Weekly,No,
1208,Kelly Garcia,32,Lesotho,4,5,4,1,Too Expensive,4,Mobile,Daily,No,
1209,Carla Ingram,35,Pakistan,1,1,5,4,Fair,5,Mobile,Weekly,No,
1210,Andres Willis,56,Ireland,3,8,1,5,Too Expensive,2,Mobile,Daily,No,
1211,Victor Olson,29,Nicaragua,3,10,5,2,Fair,1,Mobile,Weekly,No,Anything change available present author manager.
1212,Shawn Scott DDS,35,Uganda,4,0,2,5,Cheap,1,Desktop,Weekly,Yes,Record add follow sing.
1213,Cassidy Wilson,44,Taiwan,1,4,4,3,Fair,1,Mobile,Daily,Yes,
1214,Sharon Hunter,24,Faroe Islands,3,3,1,1,Fair,4,Desktop,Daily,No,
1215,Christopher Johnson,25,El Salvador,3,0,1,5,Cheap,5,Mobile,Daily,Yes,
1216,Joanne Gutierrez,33,Uruguay,3,9,5,5,Fair,1,Desktop,Daily,Yes,Indeed cover conference find rule present.
1217,David Cardenas,56,British Virgin Islands,4,2,4,4,Fair,4,Mobile,Daily,Yes,
1218,Thomas Johnston,28,Poland,4,7,1,3,Fair,4,Mobile,Rarely,No,
1219,Denise Farrell,38,Sierra Leone,2,3,2,1,Fair,2,Smart Speaker,Daily,No,Read large marriage free.
1220,Gregory Sanchez,29,Brunei Darussalam,4,4,1,2,Fair,1,Desktop,Daily,Yes,
1221,Brenda Garrison,29,Switzerland,5,4,5,5,Fair,2,Mobile,Daily,No,Sound believe sea call.
1222,Angela Burnett MD,18,Austria,4,7,5,5,Too Expensive,5,Desktop,Weekly,Yes,
1223,Thomas Klein,49,Reunion,3,7,3,2,Fair,3,Mobile,Daily,Yes,
1224,Melissa Valenzuela,38,North Macedonia,2,6,5,5,Fair,2,Mobile,Daily,Yes,
1225,Mark Salinas,35,Ireland,4,5,3,3,Fair,2,Smart Speaker,Daily,No,Front magazine require mean but writer.
1226,Kenneth Richardson,18,El Salvador,5,6,3,5,Fair,5,Mobile,Daily,Yes,
1227,Antonio Kent,40,South Georgia and the South Sandwich Islands,5,3,2,2,Cheap,1,Mobile,Daily,No,
1228,Stanley Walker,19,Czech Republic,5,1,2,5,Too Expensive,5,Desktop,Daily,No,
1229,Gary Thomas,35,El Salvador,3,1,3,2,Too Expensive,5,Mobile,Weekly,Yes,
1230,Darlene Hall,46,Uganda,4,4,1,4,Fair,1,Mobile,Daily,No,Exist party peace up leave month.
1231,Dorothy Nelson,28,Papua New Guinea,3,10,2,3,Fair,3,Mobile,Weekly,No,Marriage million budget western finish sit decision.
1232,William Rivera,43,Ghana,5,0,1,1,Too Expensive,4,Mobile,Daily,Yes,
1233,Brian Gilbert,47,Korea,2,5,1,1,Fair,4,Mobile,Daily,No,
1234,Carlos Marks,31,Albania,5,9,4,4,Fair,1,Mobile,Daily,Yes,
1235,David Chandler,57,Estonia,1,3,3,5,Fair,1,Desktop,Weekly,Yes,
1236,Debbie Anderson,36,United States of America,3,6,4,1,Too Expensive,4,Mobile,Daily,No,
1237,Courtney Moss,18,Liberia,5,1,4,4,Fair,5,Mobile,Weekly,No,
1238,Matthew Osborne,44,Liberia,2,10,3,5,Fair,3,Mobile,Daily,Yes,Benefit short goal.
1239,Audrey Brown DDS,19,Belize,2,6,1,4,Fair,5,Desktop,Daily,No,Responsibility majority huge today measure.
1240,Crystal Miller,31,Sao Tome and Principe,2,9,3,2,Fair,3,Smart Speaker,Daily,No,
1241,Katherine Ramirez,55,Brunei Darussalam,5,1,4,2,Fair,3,Mobile,Daily,Yes,Cup call skill address meeting become challenge.
1242,Eric Barton,52,Marshall Islands,1,1,1,5,Too Expensive,3,Mobile,Daily,No,
1243,Marcus Taylor,42,Lesotho,3,9,5,4,Fair,3,Other,Daily,Yes,
1244,Joseph Graham,28,Costa Rica,2,7,4,1,Too Expensive,4,Mobile,Weekly,Yes,
1245,Erica Miranda,31,Japan,4,8,5,3,Fair,2,Mobile,Monthly,No,
1246,Gerald Brown,55,British Indian Ocean Territory (Chagos Archipelago),3,2,5,1,Fair,3,Mobile,Daily,No,
1247,Jillian King,56,Japan,3,1,5,1,Fair,2,Mobile,Weekly,Yes,Born fund enjoy song project add six church.
1248,Annette Miller,47,Saint Lucia,3,9,1,2,Fair,3,Mobile,Daily,No,
1249,Crystal Walker,58,Rwanda,5,1,1,4,Too Expensive,1,Mobile,Rarely,Yes,
1250,Jose Jackson,59,Christmas Island,3,5,2,2,Fair,4,Mobile,Daily,Yes,
1251,Rachel Grimes,22,Latvia,1,4,5,5,Too Expensive,4,Desktop,Daily,No,
1252,Melissa Thomas,40,Israel,5,8,4,2,Too Expensive,1,Mobile,Daily,Yes,Past race sister trip.
1253,Ryan Mitchell,54,Djibouti,5,5,5,2,Fair,2,Mobile,Daily,Yes,
1254,Elizabeth Gilmore,27,Pakistan,3,4,3,4,Fair,2,Smart Speaker,Daily,Yes,
1255,Darren Klein,48,Cote d'Ivoire,5,3,5,1,Fair,3,Mobile,Daily,Yes,Between operation part anyone.
1256,Matthew Everett,49,Nigeria,1,9,5,2,Fair,3,Smart Speaker,Daily,Yes,
1257,Tracy Woods,20,France,3,10,1,5,Cheap,5,Mobile,Daily,Yes,Exist sure soldier impact guess least later.
1258,Anita Nelson,36,Tuvalu,5,8,1,1,Too Expensive,1,Mobile,Daily,No,
1259,Joseph Hogan,18,Heard Island and McDonald Islands,5,0,3,3,Fair,2,Mobile,Daily,No,Another population up position.
1260,Catherine Bates,22,Burundi,2,4,1,2,Fair,4,Desktop,Daily,Yes,Goal military wall along.
1261,Christopher Wang,41,Cape Verde,4,4,5,2,Fair,4,Mobile,Daily,Yes,They single worry try figure young hand future.
1262,Tiffany Martin,32,South Africa,1,9,5,1,Cheap,1,Desktop,Daily,Yes,Fine son enjoy.
1263,Gavin Nelson,39,United States Minor Outlying Islands,3,8,2,4,Too Expensive,2,Desktop,Daily,Yes,
1264,Alexis Gillespie,45,Chile,1,4,3,1,Too Expensive,4,Desktop,Weekly,Yes,
1265,Nathan Poole,41,China,2,5,4,2,Fair,4,Other,Daily,Yes,
1266,Jermaine Khan,53,Niue,1,7,5,1,Fair,2,Mobile,Daily,Yes,
1267,Amanda Hansen,39,Estonia,3,7,3,2,Fair,3,Mobile,Monthly,No,
1268,Benjamin Brown,33,Belarus,4,10,3,1,Fair,4,Desktop,Weekly,Yes,Win probably represent deal matter physical.
1269,David Caldwell,57,North Macedonia,3,9,4,3,Fair,2,Mobile,Daily,Yes,Under little move dream oil believe.
1270,Jessica Hoffman,18,Monaco,2,5,5,4,Fair,3,Mobile,Rarely,No,
1271,Jason Mccann,33,Sweden,3,6,4,5,Fair,5,Mobile,Weekly,No,Pretty state our political wish.
1272,Marc Pierce,59,Germany,3,9,2,2,Fair,1,Mobile,Daily,No,
1273,Anna Walls,55,American Samoa,5,10,3,3,Too Expensive,3,Mobile,Daily,Yes,
1274,Tonya Owen,24,Togo,5,5,5,2,Cheap,5,Desktop,Daily,Yes,
1275,Emily Allen,24,Bhutan,4,2,2,3,Fair,5,Desktop,Daily,No,Sort well modern born.
1276,Rachel Haley,49,Uruguay,1,2,5,4,Fair,1,Mobile,Daily,No,
1277,Karen Patton,47,Syrian Arab Republic,1,2,3,3,Fair,4,Mobile,Weekly,Yes,Game cover executive suddenly individual learn if.
1278,Elizabeth Smith,18,Sri Lanka,5,9,2,3,Too Expensive,5,Mobile,Weekly,No,
1279,Bridget Curry,54,Jamaica,5,0,4,2,Cheap,4,Desktop,Weekly,No,Final unit worry maybe note both he.
1280,Bridget Wall,30,Holy See (Vatican City State),5,9,5,5,Fair,2,Desktop,Daily,Yes,
1281,Jaime House,27,Guam,2,8,2,2,Fair,3,Mobile,Daily,Yes,Executive away process pull body ask catch.
1282,Eduardo Wilson,48,San Marino,5,5,3,3,Fair,1,Desktop,Weekly,Yes,Street old white four very indicate collection.
1283,Sharon Guerrero,59,Northern Mariana Islands,1,4,2,3,Too Expensive,1,Mobile,Daily,Yes,Our job sport message cover.
1284,Aaron Fields,28,Cote d'Ivoire,2,9,2,3,Fair,5,Mobile,Daily,Yes,
1285,Dawn Johnson,43,Gibraltar,3,4,5,4,Fair,4,Mobile,Weekly,Yes,
1286,Brian Pratt,54,Ecuador,5,0,2,4,Fair,2,Mobile,Daily,Yes,
1287,Catherine Simpson,25,Solomon Islands,4,5,1,4,Fair,4,Mobile,Daily,Yes,
1288,Charles White,25,Germany,2,3,2,5,Fair,4,Desktop,Daily,Yes,Suffer live likely admit.
1289,Andrea Horton,59,Cyprus,5,2,2,1,Too Expensive,5,Mobile,Daily,Yes,
1290,Tyler Cruz,35,Bangladesh,5,1,1,4,Fair,4,Mobile,Daily,Yes,
1291,Megan Adams,47,Mexico,5,8,4,1,Fair,4,Mobile,Daily,No,
1292,Briana Edwards,30,Sweden,3,9,5,1,Fair,2,Mobile,Monthly,No,
1293,Charles Larsen,18,Gibraltar,4,3,2,1,Too Expensive,1,Mobile,Daily,No,
1294,Andrea Austin,19,Luxembourg,5,10,1,4,Fair,5,Mobile,Daily,No,
1295,Jennifer Walker,56,Western Sahara,1,7,1,3,Fair,2,Mobile,Weekly,No,During same friend.
1296,Amber Guzman,49,Mexico,3,3,3,4,Fair,4,Smart Speaker,Daily,Yes,History administration could company wonder.
1297,Kim Townsend,52,Lithuania,5,8,3,3,Fair,2,Mobile,Daily,Yes,
1298,Katrina Christensen,26,Cameroon,3,9,4,1,Fair,1,Desktop,Daily,Yes,Along land respond like beautiful dark professor.
1299,Tami Saunders,40,Mauritius,4,5,1,3,Fair,3,Mobile,Daily,No,
1300,Joshua Fowler DDS,56,Netherlands Antilles,5,0,3,2,Fair,2,Mobile,Daily,Yes,
1301,Candace Gibbs,38,Australia,5,8,3,2,Too Expensive,1,Mobile,Daily,No,
1302,Lisa Prince,18,Belize,5,10,3,2,Fair,1,Desktop,Daily,Yes,Billion idea north stand red better.
1303,Holly Dawson,19,United Arab Emirates,4,5,2,2,Too Expensive,1,Mobile,Daily,Yes,
1304,Kimberly Vaughan,59,Morocco,4,9,4,4,Fair,1,Mobile,Weekly,Yes,
1305,Matthew Weaver,53,Thailand,1,5,2,2,Fair,1,Desktop,Daily,No,Statement two hold west with significant reflect.
1306,Joshua Hill,37,Equatorial Guinea,4,2,3,1,Fair,2,Mobile,Daily,Yes,Truth move today.
1307,Tracy Cole,21,Pakistan,1,3,5,3,Fair,3,Mobile,Daily,Yes,
1308,Timothy Pruitt,45,Dominican Republic,4,8,4,4,Too Expensive,3,Mobile,Daily,Yes,
1309,Tammy Berry,43,Uzbekistan,1,5,4,5,Fair,4,Smart Speaker,Daily,Yes,
1310,Patricia Johnson,57,Tokelau,4,8,1,1,Too Expensive,1,Mobile,Weekly,Yes,Of box Mr research small charge something.
1311,Alexis Simpson,45,China,5,5,1,1,Too Expensive,1,Mobile,Daily,Yes,
1312,Dakota Mcgee,26,Uganda,1,2,3,4,Fair,1,Mobile,Daily,Yes,Kitchen edge want feeling music person.
1313,Jeffrey Jacobs Jr.,18,Saint Martin,2,8,1,4,Too Expensive,1,Mobile,Daily,No,
1314,Frank White Jr.,35,Burundi,2,8,1,4,Too Expensive,3,Mobile,Daily,Yes,
1315,Angela Logan,32,Yemen,3,5,3,3,Cheap,2,Mobile,Daily,Yes,
1316,Danielle Zavala,21,Cayman Islands,1,2,2,5,Fair,2,Desktop,Weekly,Yes,Person bank strategy kid.
1317,Cynthia Thompson,37,Sudan,5,0,2,1,Cheap,2,Mobile,Daily,No,
1318,David Williams,19,Georgia,2,6,3,1,Fair,3,Mobile,Weekly,Yes,
1319,Michelle Nelson,22,Nepal,3,5,5,3,Too Expensive,5,Mobile,Daily,No,
